id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1514427525505691656	1514427525505691656	2022-04-13 19:17:13 PDT	2022-04-13	19:17:13	-0700	1503855290298474497	exitpathroland	Roland Frasier		How can you ZOOM in? . . . #financialfreedom #buildwealth #business #invest #marketing  https://t.co/wY5qBo79K3	en	[]	[]	[]	0	0	0	['financialfreedom', 'buildwealth', 'business', 'invest', 'marketing']	[]	https://twitter.com/exitpathroland/status/1514427525505691656	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1514427488230907913/pu/img/4ZBzoTa0oWXareZt.jpg							[]				
1514427470023434247	1514427470023434247	2022-04-13 19:17:00 PDT	2022-04-13	19:17:00	-0700	1478316422249910272	perthvirtual	Perth Virtual		Check out Perth’s unique real estate opportunities:   https://t.co/eoxFR8igdt  #nft #nfts #perth #perthproperty #invest #ethereum  https://t.co/dqp2HrTQ95	en	[]	['https://rarible.com/perthvirtual/owned']	['https://pbs.twimg.com/media/FQQqls6VEAAbLol.jpg']	0	0	1	['nft', 'nfts', 'perth', 'perthproperty', 'invest', 'ethereum']	[]	https://twitter.com/PerthVirtual/status/1514427470023434247	False		1	https://pbs.twimg.com/media/FQQqls6VEAAbLol.jpg							[]				
1514425457722146822	1514425457722146822	2022-04-13 19:09:00 PDT	2022-04-13	19:09:00	-0700	1303220728146407424	cityzenpakistan	CityZen Pakistan is wearing a Mask 😷 ↔ 😷 ↔ 😷		#BeResponsible 🇵🇰 #DoYourDuty 🇵🇰 #TogetherWeCan 🇵🇰  🇵🇰 #Invest   Join #TwitterPakistan  https://t.co/g1m50UvKzI	en	[]	['https://twitter.com/i/communities/1496759563994947589']	[]	0	0	0	['beresponsible', 'doyourduty', 'togetherwecan', 'invest', 'twitterpakistan']	[]	https://twitter.com/CityZenPakistan/status/1514425457722146822	False	https://twitter.com/frokhi90/status/1514194758289301507	0								[]				
1514425146114822152	1514425146114822152	2022-04-13 19:07:46 PDT	2022-04-13	19:07:46	-0700	1260215446353129473	intratio	intratio		 https://t.co/vfm9qzRIds Cigna Corp. The engine lets us believe this company s stock price will be stable in the short term and has no clear long term directional perspective $CI #stocks #invest #smallbusiness	en	[]	['https://www.intratio.com/stock-forecast/CI']	[]	0	0	0	['stocks', 'invest', 'smallbusiness']	['ci']	https://twitter.com/intratio/status/1514425146114822152	False		0								[]				
1514424883354247170	1514424883354247170	2022-04-13 19:06:43 PDT	2022-04-13	19:06:43	-0700	2839322672	handsonreinvest	handsonreinvesting		How We Got Started #Investing in #RealEstate! #invest #realestateinvestor #realestate  https://t.co/PJK9CmkSua  https://t.co/60utoxKHTb	en	[]	['https://handsonrealestateinvesting.com/?p=3434&utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost']	['https://pbs.twimg.com/media/FQRRZcQXsAE4yWN.png']	0	0	0	['investing', 'realestate', 'invest', 'realestateinvestor', 'realestate']	[]	https://twitter.com/handsonreinvest/status/1514424883354247170	False		1	https://pbs.twimg.com/media/FQRRZcQXsAE4yWN.png							[]				
1514423858929016832	1514423858929016832	2022-04-13 19:02:39 PDT	2022-04-13	19:02:39	-0700	1348371453721382915	swavetech_	SWAVE TECH		How to Invest In NFT Stock Explain by NFTICALLY #explain #how #invest #nft #nftically #stock  https://t.co/Np7EqoM8cl	en	[]	['https://swavedigest.com/how-to-invest-in-nft-stock-explain-by-nftically?feed_id=127078&_unique_id=625780bf060cd']	[]	1	0	0	['explain', 'how', 'invest', 'nft', 'nftically', 'stock']	[]	https://twitter.com/swavetech_/status/1514423858929016832	False		0								[]				
1514423857272311810	1514423857272311810	2022-04-13 19:02:38 PDT	2022-04-13	19:02:38	-0700	1470155811834011654	swavedigest	SwaveDigest		How to Invest In NFT Stock Explain by NFTICALLY #explain #how #invest #nft #nftically #stock  https://t.co/GY0kx8ZEHa	en	[]	['https://swavedigest.com/how-to-invest-in-nft-stock-explain-by-nftically?feed_id=127077&_unique_id=625780be94418']	[]	1	0	0	['explain', 'how', 'invest', 'nft', 'nftically', 'stock']	[]	https://twitter.com/SwaveDigest/status/1514423857272311810	False		0								[]				
1514423198061842438	1514423198061842438	2022-04-13 19:00:01 PDT	2022-04-13	19:00:01	-0700	280386937	2iqresearch	2iQ		Multiple #insiders at INDUCTION HEALTHCARE GROUP💊 reported their purchases on April 11 &amp; 12📆  Five people including CEO James H. Stewart Balmain👨‍💼 &amp; CFO Guy J. Mitchell👨‍💼 bought a total of 544,073 $INHC #shares⬆️  Value💵: $372,291  @InductionHQ #trades #invest #clusterbuying  https://t.co/04e8zQ212u	en	[{'screen_name': 'inductionhq', 'name': 'induction healthcare group', 'id': '1076406250500431872'}]	[]	['https://pbs.twimg.com/media/FQRP3mZXIAE9qrf.png', 'https://pbs.twimg.com/media/FQRP33VXwAk8ZZK.jpg']	0	0	0	['insiders', 'shares', 'trades', 'invest', 'clusterbuying']	['inhc']	https://twitter.com/2iqresearch/status/1514423198061842438	False		1	https://pbs.twimg.com/media/FQRP3mZXIAE9qrf.png							[]				
1514423195394215936	1514423195394215936	2022-04-13 19:00:01 PDT	2022-04-13	19:00:01	-0700	1353373682052210688	suradijaya08	suradijaya08		 https://t.co/676RM6Gma8 @FutiraCoin $FUT #Futira #FutiraToken #Inovatian #Invest #gems #BSC #Binance	und	[{'screen_name': 'futiracoin', 'name': 'futira coin', 'id': '1452220816435859469'}]	['https://twitter.com/FutiraCoin/status/1514408093345464321?s=20&t=Kvx_4k6xJtZWuEf0E6kLrQ']	[]	0	1	1	['futira', 'futiratoken', 'inovatian', 'invest', 'gems', 'bsc', 'binance']	['fut']	https://twitter.com/suradijaya08/status/1514423195394215936	False	https://twitter.com/FutiraCoin/status/1514408093345464321?s=20&t=Kvx_4k6xJtZWuEf0E6kLrQ	0								[]				
1514421812850946048	1514421812850946048	2022-04-13 18:54:31 PDT	2022-04-13	18:54:31	-0700	1646379536	thewallstwiz	The Wall Street Wizard 🧙🏼‍♂️		🚨 TWITTER NFT ALERT 🚨  TUNE IN so you don’t miss the AMA #NFTCommunity @SpaceFrenzNFTs  @personafi_app #invest #project	en	[{'screen_name': 'spacefrenznfts', 'name': 'space frenz', 'id': '1509951445419769857'}, {'screen_name': 'personafi_app', 'name': 'personafi', 'id': '1396329148612677634'}]	[]	[]	0	0	3	['nftcommunity', 'invest', 'project']	[]	https://twitter.com/thewallstwiz/status/1514421812850946048	False	https://twitter.com/spacefrenznfts/status/1514414024997310468	0								[]				
