id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1514427570384621571	1514422322601787394	2022-04-13 19:17:24 PDT	2022-04-13	19:17:24	-0700	1430628586273349642	ls1_lilie	Mc°♡ 🐥		@lalaluvlalisa @BLACKPINK 900k mil soon   I'm listening to a song by Kpop female soloist with the longest Spotify Top 200 charting #MONEY by #LISA	en	[]	[]	[]	0	0	0	['money', 'lisa']	[]	https://twitter.com/LS1_LILIE/status/1514427570384621571	False		0								[{'screen_name': 'lalaluvlalisa', 'name': 'lisa data', 'id': '1160788270797561858'}, {'screen_name': 'BLACKPINK', 'name': 'BLACKPINKOFFICIAL', 'id': '1273850774380883975'}]				
1514427545756012548	1514427545756012548	2022-04-13 19:17:18 PDT	2022-04-13	19:17:18	-0700	1225301643668815873	jasminlisa_1507	🎂Jsmn❤LISA👑		มารายงานตัวค้าบ  I'm listening to the longest charting song by K-pop soloist on Billboard 200 #MONEY by #LISA  https://t.co/quMRmycIji	en	[]	[]	['https://pbs.twimg.com/media/FQRT04IakAAh_sc.jpg']	0	0	0	['money', 'lisa']	[]	https://twitter.com/Jasminlisa_1507/status/1514427545756012548	False		1	https://pbs.twimg.com/media/FQRT04IakAAh_sc.jpg							[]				
1514427541574283267	1514394182235791361	2022-04-13 19:17:17 PDT	2022-04-13	19:17:17	-0700	1130416721527857153	patpipit	Patpipit		@LiliesHomeG @lilynana2731997 블랙핑크 리사 최고의 여자  블랙핑크 리사, 우리는 너를 너무 사랑해 블랙핑크 리사, 당신은 사랑을 받고 있습니다 블랙핑크 리사, 우리는 항상 당신을 자랑스럽게 생각합니다  블랙핑크 리사 #LISA #리사  #블랙핑크 #LALISA #MONEY #SG #ลิซ่า #ลลิษา	ko	[]	[]	[]	0	0	0	['lisa', '리사', '블랙핑크', 'lalisa', 'money', 'sg', 'ลิซ่า', 'ลลิษา']	[]	https://twitter.com/patpipit/status/1514427541574283267	False		0								[{'screen_name': 'LiliesHomeG', 'name': '𝐋𝐢𝐥𝐢𝐞𝐬𝐇𝐨𝐦𝐞 𝐆𝐚𝐥𝐥𝐞𝐫𝐲', 'id': '801448295889408000'}, {'screen_name': 'lilynana2731997', 'name': '💍 ❤️\u200d🔥𝓞𝓷𝓵𝔂 ⚡️𝓕𝓸𝓻 ❤️\u200d🔥𝓛𝓘𝓢𝓐 ⚡️', 'id': '1214811415556411392'}]				
1514427426117283846	1514423673628725248	2022-04-13 19:16:49 PDT	2022-04-13	19:16:49	-0700	2882876780	sasa_stayfor4	🎂 sasa⁰³²⁷		@LaliceUpdates @BLACKPINK 블랙핑크 리사 최고의 여자  블랙핑크 리사, 우리는 너를 너무 사랑해 블랙핑크 리사, 당신은 사랑을 받고 있습니다 블랙핑크 리사, 우리는 항상 당신을 자랑스럽게 생각합니다  #블랙핑크리사 블랙핑크 리사 #블랙핑크 #리사  #LISA #LALISA #MONEY @BLACKPINK	ko	[{'screen_name': 'blackpink', 'name': 'blackpinkofficial', 'id': '1273850774380883975'}]	[]	[]	0	0	0	['블랙핑크리사', '블랙핑크', '리사', 'lisa', 'lalisa', 'money']	[]	https://twitter.com/sasa_stayfor4/status/1514427426117283846	False		0								[{'screen_name': 'LaliceUpdates', 'name': '리사! UPDATES', 'id': '762109276764504064'}, {'screen_name': 'BLACKPINK', 'name': 'BLACKPINKOFFICIAL', 'id': '1273850774380883975'}]				
1514427314259447810	1514427314259447810	2022-04-13 19:16:23 PDT	2022-04-13	19:16:23	-0700	3497085674	nitch_fyg	Fyg | Inactiva 📚		I'm listening to K-pop female act song with the most #1's on iTunes #LALISA by #LISA   I'm listening to the longest charting song by K-pop soloist on Billboard 200 #MONEY by #LISA  https://t.co/CHciNMTmXR	en	[]	[]	['https://pbs.twimg.com/media/FQRTm8JXwAEbuhA.jpg']	0	0	0	['lalisa', 'lisa', 'money', 'lisa']	[]	https://twitter.com/Nitch_fyg/status/1514427314259447810	False		1	https://pbs.twimg.com/media/FQRTm8JXwAEbuhA.jpg							[]				
1514427307435302912	1514423673628725248	2022-04-13 19:16:21 PDT	2022-04-13	19:16:21	-0700	1468080304871346184	lisayahhhhh4	liz		@LaliceUpdates @BLACKPINK 블랙핑크 리사 최고의 여자  블랙핑크 리사, 우리는 너를 너무 사랑해 블랙핑크 리사, 당신은 사랑을 받고 있습니다 블랙핑크 리사, 우리는 항상 당신을 자랑스럽게 생각합니다  #블랙핑크리사 블랙핑크 리사 #블랙핑크 #리사  #LISA #LALISA #MONEY @BLACKPINK	ko	[{'screen_name': 'blackpink', 'name': 'blackpinkofficial', 'id': '1273850774380883975'}]	[]	[]	0	0	0	['블랙핑크리사', '블랙핑크', '리사', 'lisa', 'lalisa', 'money']	[]	https://twitter.com/lisayahhhhh4/status/1514427307435302912	False		0								[{'screen_name': 'LaliceUpdates', 'name': '리사! UPDATES', 'id': '762109276764504064'}, {'screen_name': 'BLACKPINK', 'name': 'BLACKPINKOFFICIAL', 'id': '1273850774380883975'}]				
1514427284400533504	1514427284400533504	2022-04-13 19:16:15 PDT	2022-04-13	19:16:15	-0700	1008436994257457152	blueeyes_ismine	🥃Behind blue eyes ⁰³²⁷		ใครฟัง Money ขอให้มีเงินเต็มกระเป๋า   I'm listening to the longest charting song by K-pop soloist on Billboard 200 #MONEY by #LISA  https://t.co/bwQRNNB41z	vi	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FQRTlTkaQAEzXBB.jpg']	0	0	1	['money', 'lisa']	[]	https://twitter.com/blueeyes_ismine/status/1514427284400533504	False		1	https://pbs.twimg.com/tweet_video_thumb/FQRTlTkaQAEzXBB.jpg							[]				
1514427279883096068	1514427279883096068	2022-04-13 19:16:14 PDT	2022-04-13	19:16:14	-0700	820063012996448256	sueyangfx	S_FX		Australian Dollar Solid After Ok Jobs Data, CPI Ahead Next Week. Will AUD/USD Rally? #money #currency #fx #markets #USDnews  https://t.co/DHa7VQ2asV	en	[]	['https://bit.ly/3Eahh2g']	[]	0	0	0	['money', 'currency', 'fx', 'markets', 'usdnews']	[]	https://twitter.com/sueyangfx/status/1514427279883096068	False		0								[]				
1514427184546553863	1514427184546553863	2022-04-13 19:15:52 PDT	2022-04-13	19:15:52	-0700	631553818	valantthor	Valiant		It takes #money to be heard today. Though it is the top produced product today, the majority of voices have the least of it. Money and it’s policies has been the core global thorn slowing progress rather than excelerating it.	en	[]	[]	[]	0	0	0	['money']	[]	https://twitter.com/ValantThor/status/1514427184546553863	False		0								[]				
1514426917763842051	1514426917763842051	2022-04-13 19:14:48 PDT	2022-04-13	19:14:48	-0700	1008436994257457152	blueeyes_ismine	🥃Behind blue eyes ⁰³²⁷		Let’s listen to Money on long weekend.   I'm listening to the longest charting song by K-pop soloist on Billboard 200 #MONEY by #LISA  https://t.co/uw50ni78Jn	en	[]	[]	['https://pbs.twimg.com/tweet_video_thumb/FQRTP94agAETNYb.jpg']	0	0	0	['money', 'lisa']	[]	https://twitter.com/blueeyes_ismine/status/1514426917763842051	False		1	https://pbs.twimg.com/tweet_video_thumb/FQRTP94agAETNYb.jpg							[]				
