id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1511746447800160260	1511746447800160260	2022-04-06 09:43:34 PDT	2022-04-06	09:43:34	-0700	768896358631608321	somatic_exp_int	Somatic_Exp		. Click the link following link:  https://t.co/OLfDkGWHYN to hear our SE Community Conversation on the topic.  #SomaticExperiencing #somaticexperiencinginternational #neurobiology #traumahealing  #traumarecovery #nervoussystem #mentalhealth #APHA #nphw2022 #publichealth  https://t.co/apKlBCSAkW	en	[]	['https://www.youtube.com/watch?v=GGNifbUelf8']	['https://pbs.twimg.com/media/FPrNYf9WYAAlfPY.jpg', 'https://pbs.twimg.com/media/FPrNYfeXIAAqmIk.jpg', 'https://pbs.twimg.com/media/FPrNYgyWYAQxbDP.jpg', 'https://pbs.twimg.com/media/FPrNYhNXMAAod90.jpg']	0	0	3	['somaticexperiencing', 'somaticexperiencinginternational', 'neurobiology', 'traumahealing', 'traumarecovery', 'nervoussystem', 'mentalhealth', 'apha', 'nphw2022', 'publichealth']	[]	https://twitter.com/Somatic_Exp_Int/status/1511746447800160260	False		1	https://pbs.twimg.com/media/FPrNYf9WYAAlfPY.jpg							[]				
1511592087980068864	1511592087980068864	2022-04-05 23:30:12 PDT	2022-04-05	23:30:12	-0700	1324948009	dwih_newdelhi	DWIH New Delhi		Looking for a project for your #research in #bioinformatics, analytical #chemistry, #entomology, #neurobiology, #molecularbiology &amp; more? @MPI_CE is offering 6 #PhD positions &amp; 11 projects beginning Sept 2022. Apply until May 6 2022-  https://t.co/I720LOXMSK  https://t.co/g2WPty6fnV	en	[{'screen_name': 'mpi_ce', 'name': 'max planck institute for chemical ecology', 'id': '1087711595311042560'}]	['http://bit.ly/3NOdLig']	['https://pbs.twimg.com/media/FPpA_ghXwAEHaAS.jpg']	0	5	6	['research', 'bioinformatics', 'chemistry', 'entomology', 'neurobiology', 'molecularbiology', 'phd']	[]	https://twitter.com/DWIH_NewDelhi/status/1511592087980068864	False		1	https://pbs.twimg.com/media/FPpA_ghXwAEHaAS.jpg							[]				
1511591086577238016	1511591086577238016	2022-04-05 23:26:13 PDT	2022-04-05	23:26:13	-0700	1127986998411706368	probiologist	ProBiologists		"""Commentary on #adrenarche and middle childhood"" by Dr. Benjamin Campbell  et al .from UW-Milwaukee @UWM Published in Journal of #Neurobiology and Physiology. read more by :  https://t.co/8PAGSHKHOo"	en	[{'screen_name': 'uwm', 'name': 'uw-milwaukee', 'id': '15680246'}]	['https://doi.org/10.46439/neurobiology.3.015']	[]	0	0	0	['adrenarche', 'neurobiology']	[]	https://twitter.com/ProBiologist/status/1511591086577238016	False		0								[]				
1511396750048722945	1511396750048722945	2022-04-05 10:34:00 PDT	2022-04-05	10:34:00	-0700	15019659	cedarbaypsych	Barbara Smith		Adults need play too! #adults #play #mentalhealh #wellness #neurobiology  https://t.co/HqImjbTH5h	en	[]	['https://www.helpguide.org/articles/mental-health/benefits-of-play-for-adults.htm']	[]	0	0	0	['adults', 'play', 'mentalhealh', 'wellness', 'neurobiology']	[]	https://twitter.com/CedarBayPsych/status/1511396750048722945	False		0								[]				
1511390291718250504	1511390291718250504	2022-04-05 10:08:20 PDT	2022-04-05	10:08:20	-0700	30064358	keystonesymp	Keystone Symposia		It's the last day for DISCOUNTED early registration to joint meetings on #Neurodegeneration &amp; #Neuroimmune interactions. Discount deadline April 5   Meet with field leaders to explore #neurobiology &amp; #immunity with insight into novel treatment strategies.  https://t.co/j5lkRjWy8D  https://t.co/InLZ4xmubB	en	[]	['https://hubs.la/Q017rdK20']	['https://pbs.twimg.com/media/FPmJdhNWUAMVxWs.jpg']	0	1	1	['neurodegeneration', 'neuroimmune', 'neurobiology', 'immunity']	[]	https://twitter.com/KeystoneSymp/status/1511390291718250504	False		1	https://pbs.twimg.com/media/FPmJdhNWUAMVxWs.jpg							[]				
1511362654253813760	1511362654253813760	2022-04-05 08:18:31 PDT	2022-04-05	08:18:31	-0700	768896358631608321	somatic_exp_int	Somatic_Exp		 https://t.co/lqHBPfjDLl   Full article:  https://t.co/zVBDGtirj6   #SomaticExperiencing #somaticexperiencinginternational #neurobiology  #somatics #healthcare #psychology #traumahealing #trauma #traumainformed #traumarecovery #healingtrauma #nervoussystem #newsletter #articles  https://t.co/mEsx0QVwaA	en	[]	['https://traumahealing.org/SEIMailingList', 'https://traumahealing.org/4422SEToday']	['https://pbs.twimg.com/media/FPlwUrVWUAQWKEP.jpg']	0	0	1	['somaticexperiencing', 'somaticexperiencinginternational', 'neurobiology', 'somatics', 'healthcare', 'psychology', 'traumahealing', 'trauma', 'traumainformed', 'traumarecovery', 'healingtrauma', 'nervoussystem', 'newsletter', 'articles']	[]	https://twitter.com/Somatic_Exp_Int/status/1511362654253813760	False		1	https://pbs.twimg.com/media/FPlwUrVWUAQWKEP.jpg							[]				
1511322783275438087	1511322783275438087	2022-04-05 05:40:05 PDT	2022-04-05	05:40:05	-0700	19256096	facultyopinions	Faculty Opinions		“The enigmatic #enteric nervous system”: Section Head Nikhil Thapar @WCCNR et al. take a look at recent advances in our understanding of its complex and varied interactions in this #FacultyReview. #gastrointestine #neurobiology #OpenAccess  https://t.co/P8ktgnEZkn  https://t.co/XQWO5zZtef	en	[{'screen_name': 'wccnr', 'name': 'woolworths centre for childhood nutrition research', 'id': '1391934144188338177'}]	['https://facultyopinions.com/prime/reports/b/11/7/']	['https://pbs.twimg.com/media/FPlMD6uWUAkGi_n.jpg']	0	0	0	['enteric', 'facultyreview', 'gastrointestine', 'neurobiology', 'openaccess']	[]	https://twitter.com/Facultyopinions/status/1511322783275438087	False		1	https://pbs.twimg.com/media/FPlMD6uWUAkGi_n.jpg							[]				
1511282551859691521	1511282551859691521	2022-04-05 03:00:13 PDT	2022-04-05	03:00:13	-0700	250014138	idw_online_en	Informationsdienst Wissenschaft - News		Local motion detectors in fruit flies sense complex patterns generated by their own motion - Researchers  @uni_mainz_eng have discovered that direction-selective cells can distinguish six types of global motion patterns // #neurobiology #Drosophila  https://t.co/EA4L57B9pv	en	[{'screen_name': 'uni_mainz_eng', 'name': 'mainz university', 'id': '111398708'}]	['https://idwf.de/-DBN3AC']	[]	0	0	0	['neurobiology', 'drosophila']	[]	https://twitter.com/idw_online_en/status/1511282551859691521	False		0								[]				
1511261108945960965	1511261108945960965	2022-04-05 01:35:00 PDT	2022-04-05	01:35:00	-0700	111398708	uni_mainz_eng	Mainz University		Local motion detectors in fruit flies sense complex patterns generated by their own motion - Researchers @uni_mainz have discovered that direction-selective cells can distinguish six types of global motion patterns  https://t.co/MCoCivOAI6  #neurobiology #Drosophila  https://t.co/2FHuQe5hRB	en	[{'screen_name': 'uni_mainz', 'name': 'universität mainz', 'id': '91555931'}]	['https://www.uni-mainz.de/presse/aktuell/14979_ENG_HTML.php']	['https://pbs.twimg.com/media/FPkT-FsXIAMQ9dJ.jpg']	0	1	1	['neurobiology', 'drosophila']	[]	https://twitter.com/uni_mainz_eng/status/1511261108945960965	False		1	https://pbs.twimg.com/media/FPkT-FsXIAMQ9dJ.jpg							[]				
1511237200087707649	1511237200087707649	2022-04-05 00:00:00 PDT	2022-04-05	00:00:00	-0700	1227705415745536001	alumnisissa	SISSA Alumni Society		Our Alumni Stories continue with an interview with Anujaianthi Kuzhandaivel.  ➡️  https://t.co/XeBIXW3zNn  Anujaianthi discussed her #PhD thesis in #Neurobiology at #SISSA in 2011 and currently works in the #privatesector in the USA.  #alumni #stories  @Sissaschool @MCS_Sissa  https://t.co/y9XLqQZOci	en	[{'screen_name': 'sissaschool', 'name': 'sissa', 'id': '524354854'}, {'screen_name': 'mcs_sissa', 'name': 'mcs sissa', 'id': '811132399161589760'}]	['https://alumni.sissa.it/anujaianthi-kuzhandaivel/']	['https://pbs.twimg.com/media/FPiZ31DXsAUwehh.jpg']	0	1	7	['phd', 'neurobiology', 'sissa', 'privatesector', 'alumni', 'stories']	[]	https://twitter.com/AlumniSissa/status/1511237200087707649	False		1	https://pbs.twimg.com/media/FPiZ31DXsAUwehh.jpg							[]				
