id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1514500553141002247	1514500553141002247	2022-04-14 00:07:24 PDT	2022-04-14	00:07:24	-0700	1044735023834943488	globalpolicyin	Global Policy Insights		Early Bird Applications close in 24 hours! Become part a global community of change makers by heading to  https://t.co/BRcod9jpof.  #community #leaders #sustainability #network #policy #diplomacy #climatechange #climateaction #worldpeace #internationalrelations  https://t.co/HZPlvtQ4t2	en	[]	['http://gpods.org']	[]	0	0	0	['community', 'leaders', 'sustainability', 'network', 'policy', 'diplomacy', 'climatechange', 'climateaction', 'worldpeace', 'internationalrelations']	[]	https://twitter.com/globalpolicyin/status/1514500553141002247	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1514500508597501954/pu/img/TbAWDyhL4O56lp3m.jpg							[]				
1514500180833636354	1514500180833636354	2022-04-14 00:05:55 PDT	2022-04-14	00:05:55	-0700	1282290435071725568	gpodsofficial	gpods		Early Bird Applications close in 24 hours! Become part a global community of change makers by heading to  https://t.co/ssCRVXd9s1.  #community #leaders #sustainability #network #policy #diplomacy #climatechange #climateaction #worldpeace #internationalrelations  https://t.co/4ZoEZVRQXX	en	[]	['http://www.gpods.org']	[]	0	0	0	['community', 'leaders', 'sustainability', 'network', 'policy', 'diplomacy', 'climatechange', 'climateaction', 'worldpeace', 'internationalrelations']	[]	https://twitter.com/gpodsofficial/status/1514500180833636354	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1514500148826873860/pu/img/548rep4Vy_jNcZgD.jpg							[]				
1514499269943865345	1514499269943865345	2022-04-14 00:02:18 PDT	2022-04-14	00:02:18	-0700	1513825610531020809	cryptolard11	Cryptolard		We are Open to receive you daily as our #Growth is Rapid, These are what you can do with us. You can help by agreeing and #investing with us, We ensure quality #Policy to #Protect Users.  Join us today  #OpenWorld #Metaverse #Defi #Web3  https://t.co/eKZ4QtRZRy	en	[]	[]	['https://pbs.twimg.com/media/FQSVDvWX0AQVdol.jpg']	0	0	0	['growth', 'investing', 'policy', 'protect', 'openworld', 'metaverse', 'defi', 'web3']	[]	https://twitter.com/Cryptolard11/status/1514499269943865345	False		1	https://pbs.twimg.com/media/FQSVDvWX0AQVdol.jpg							[]				
1514498879575797766	1514498879575797766	2022-04-14 00:00:45 PDT	2022-04-14	00:00:45	-0700	1354375855796080642	brussels_school	Brussels School of Governance (BSoG)		Happy to announce that thanks to the support of @onderwijs_Vl and Flemish Higher Education Council (VLUHR), we have 1 additional full tuition fee waiver for our 2022 #SummerSchool on #EU #Policy-Making! Last day to apply for it!  👉👉 More here:  https://t.co/S5r8IIqkDh  https://t.co/QZfCUMVW61	en	[{'screen_name': 'onderwijs_vl', 'name': 'onderwijs vlaanderen', 'id': '937039010'}]	['http://ow.ly/r2Y050Iw06b']	['https://pbs.twimg.com/media/FQSUtINXEAI2TNg.jpg']	0	1	1	['summerschool', 'eu', 'policy']	[]	https://twitter.com/Brussels_School/status/1514498879575797766	False		1	https://pbs.twimg.com/media/FQSUtINXEAI2TNg.jpg							[]				
1514498232835006471	1514498232835006471	2022-04-13 23:58:11 PDT	2022-04-13	23:58:11	-0700	1493600036932009986	warnock_fx	Warnock FX		🇦🇺 #Employment Change and #Unemployment Rate, would heighten the possibility of turn in #RBA’s consistently dovish monetary #policy stance.  🗞️Details of the News on Our Telegram Channel;  🔗 https://t.co/pHVHI9Egmr  https://t.co/22xNcI0C9R	en	[]	['https://t.me/warnockfx']	['https://pbs.twimg.com/media/FQSTxe2XsAAh0Kc.jpg']	0	0	0	['employment', 'unemployment', 'rba', 'policy']	[]	https://twitter.com/Warnock_Fx/status/1514498232835006471	False		1	https://pbs.twimg.com/media/FQSTxe2XsAAh0Kc.jpg							[]				
1514491190913429509	1514491190913429509	2022-04-13 23:30:12 PDT	2022-04-13	23:30:12	-0700	81082366	ettelecom	ETTelecom		Factored in telcos' inputs to arrive at current price points: Trai #5GAuctions #Policy #5G #5GSpectrumPrices #5GSpectrumAuction #SpectrumAuction #TelecomRegulatoryAuthorityOfIndia #BhartiAirtel #RelianceJio #VodafoneIdea   https://t.co/BHkskAFVbn	en	[]	['https://telecom.economictimes.indiatimes.com/news/factored-in-telcos-inputs-to-arrive-at-current-price-points-trai/90836475']	[]	1	1	4	['5gauctions', 'policy', '5g', '5gspectrumprices', '5gspectrumauction', 'spectrumauction', 'telecomregulatoryauthorityofindia', 'bhartiairtel', 'reliancejio', 'vodafoneidea']	[]	https://twitter.com/ETTelecom/status/1514491190913429509	False		0								[]				
1514490989280468993	1514490989280468993	2022-04-13 23:29:24 PDT	2022-04-13	23:29:24	-0700	372280539	cllrmikefreeman	Mike Freeman		#Govt #Minister #floundering on @TimesRadio #immigration #Rwanda another half baked #inhumane #Tory #policy and they claim to care	en	[{'screen_name': 'timesradio', 'name': 'times radio', 'id': '1217786733540118528'}]	[]	[]	0	0	0	['govt', 'minister', 'floundering', 'immigration', 'rwanda', 'inhumane', 'tory', 'policy']	[]	https://twitter.com/CllrMikeFreeman/status/1514490989280468993	False		0								[]				
1514490510680879107	1514490510680879107	2022-04-13 23:27:30 PDT	2022-04-13	23:27:30	-0700	630826171	exphealthcare	Express Healthcare		Explore avenues for synergy between #policy priorities and #technology capabilities - Attend #LiveWebinar on 'Pioneering a New Age in Citizen Services – Healthcare Innovation, Redefined' | 21st April 2022 | 3 PM - 4:30 PM IST @AWSCloudIndia   Register Now:  https://t.co/Lwpx6gSVEI  https://t.co/x4M98VXnha	en	[{'screen_name': 'awscloudindia', 'name': 'aws cloud india', 'id': '1386887234423459840'}]	['https://t.ly/21pnacsT']	['https://pbs.twimg.com/media/FQSMAtTVsAA9dtq.jpg']	0	0	1	['policy', 'technology', 'livewebinar']	[]	https://twitter.com/ExpHealthcare/status/1514490510680879107	False		1	https://pbs.twimg.com/media/FQSMAtTVsAA9dtq.jpg							[]				
1514487614535053320	1514487614535053320	2022-04-13 23:15:59 PDT	2022-04-13	23:15:59	-0700	1598227915	fraela79	FRANCIS EGU LANSANA		#Policy alone is not enough to deal with climate change, but commitment &amp;  #Transparent practical programs can aid in handling this nightmare globally @theGEF @uncclearn @Europarl_NL  #media #ClimateAction	en	[{'screen_name': 'thegef', 'name': 'global environment facility (gef)', 'id': '39085195'}, {'screen_name': 'uncclearn', 'name': 'un climate change:learn', 'id': '3014222399'}, {'screen_name': 'europarl_nl', 'name': 'europeesparlementnl', 'id': '101799425'}]	[]	[]	0	1	0	['policy', 'transparent', 'media', 'climateaction']	[]	https://twitter.com/fraela79/status/1514487614535053320	False		0								[]				
1514485896447287296	1514485896447287296	2022-04-13 23:09:10 PDT	2022-04-13	23:09:10	-0700	1245183554478276609	bmrlegal	BMR Legal Advocates		"We are pleased to share a column authored by our Partners @mukeshbutani  and @taxlawyer_tj, titled  ""India's revised trade vision is a work in progress"", published by @FinancialXpress   Read the article below:   https://t.co/2MBGhi7S7P  #foreigntrade #policy #india  https://t.co/IZeijfVE7p"	en	[{'screen_name': 'mukeshbutani', 'name': 'mukesh butani 🇮🇳', 'id': '73057180'}, {'screen_name': 'taxlawyer_tj', 'name': 'tarun jain', 'id': '3037836696'}, {'screen_name': 'financialxpress', 'name': 'financial express', 'id': '50279781'}]	['https://lnkd.in/gy4paRGB']	['https://pbs.twimg.com/media/FQSIz2sVEAAqtvt.jpg']	0	0	0	['foreigntrade', 'policy', 'india']	[]	https://twitter.com/BmrLegal/status/1514485896447287296	False		1	https://pbs.twimg.com/media/FQSIz2sVEAAqtvt.jpg							[]				
