id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1513702442747191301	1513702442747191301	2022-04-11 19:16:00 PDT	2022-04-11	19:16:00	-0700	2881480613	cincyphotoguy	CincyPhotography		Professional high school basketball action photos by Cincy Photography #basketball #cincinnati #cincyphotography @DCSATHLETICS  https://t.co/SGRrG6jg5W	en	[{'screen_name': 'dcsathletics', 'name': 'dayton christian school athletics', 'id': '843960955'}]	[]	['https://pbs.twimg.com/media/FPERgPgWYAE8Omz.jpg']	0	0	0	['basketball', 'cincinnati', 'cincyphotography']	[]	https://twitter.com/CincyPhotoGuy/status/1513702442747191301	False		1	https://pbs.twimg.com/media/FPERgPgWYAE8Omz.jpg							[]				
1513702387743182849	1513702387743182849	2022-04-11 19:15:47 PDT	2022-04-11	19:15:47	-0700	1139929718025797632	thesoaringseaw1	SeawardCreations		Monday Nights Prep and Practice #volleyball  #basketball  https://t.co/9geuUJSL5a	en	[]	[]	['https://pbs.twimg.com/media/FQHASQwXwAQ3R76.jpg']	0	0	0	['volleyball', 'basketball']	[]	https://twitter.com/thesoaringseaw1/status/1513702387743182849	False		1	https://pbs.twimg.com/media/FQHASQwXwAQ3R76.jpg							[]				
1513702280172023808	1513702280172023808	2022-04-11 19:15:21 PDT	2022-04-11	19:15:21	-0700	42582951	bheslehurst	Brayden Heslehurst		Tune in to our @cmail_sport livestream of the @basketballqld U16 girls state championships here with an action packed schedule on Day 1 👇 #AussieHoops #basketball #juniorsport #Toowoomba  https://t.co/typFtfpdpl	en	[{'screen_name': 'cmail_sport', 'name': 'courier mail sport', 'id': '9563382'}, {'screen_name': 'basketballqld', 'name': 'basketball queensland', 'id': '64583102'}]	['https://www.couriermail.com.au/sport/live-streams/semifinal-rematch-to-tipoff-day-1-of-the-basketball-qld-u16-girls-state-championships/news-story/b8abeb8be1a303709895b3bfa0a9061c?fbclid=IwAR2vunhhPdetG4t5bc3Xvjx1zbD7rCOg2SU7wK-uPw7T-c8BZD2L_TKcEM0']	[]	0	0	1	['aussiehoops', 'basketball', 'juniorsport', 'toowoomba']	[]	https://twitter.com/bheslehurst/status/1513702280172023808	False		0								[]				
1513701867447939072	1513701867447939072	2022-04-11 19:13:43 PDT	2022-04-11	19:13:43	-0700	1469148202402082817	fan4lyfe2	Fan4Lyfe		This is they are one of the best basketball communities #Huskies #UConn #basketball #community #different	en	[]	[]	[]	0	0	0	['huskies', 'uconn', 'basketball', 'community', 'different']	[]	https://twitter.com/Fan4Lyfe2/status/1513701867447939072	False	https://twitter.com/uconnwbb/status/1513622817513820175	0								[]				
1513701706751623169	1513701706751623169	2022-04-11 19:13:04 PDT	2022-04-11	19:13:04	-0700	2810523992	colby_colonel	The Colonel		Playoff Spida activated 😈  @spidadmitchell @utahjazz #utah #utahjazz #takenote #saltlake #saltlakecity #saltlakecityutah #slc #nba #nbatwitter #nbabasketball #basketball #NBAPlayoffs #sports #graphicdesign #design #sportsdesign  https://t.co/lJWCxJtny3	en	[{'screen_name': 'spidadmitchell', 'name': 'donovan mitchell', 'id': '488026266'}, {'screen_name': 'utahjazz', 'name': 'utah jazz', 'id': '18360370'}]	[]	['https://pbs.twimg.com/media/FQG_rSWaQAAhlr2.jpg']	3	1	10	['utah', 'utahjazz', 'takenote', 'saltlake', 'saltlakecity', 'saltlakecityutah', 'slc', 'nba', 'nbatwitter', 'nbabasketball', 'basketball', 'nbaplayoffs', 'sports', 'graphicdesign', 'design', 'sportsdesign']	[]	https://twitter.com/colby_colonel/status/1513701706751623169	False		1	https://pbs.twimg.com/media/FQG_rSWaQAAhlr2.jpg							[]				
1513701697117470731	1513701697117470731	2022-04-11 19:13:02 PDT	2022-04-11	19:13:02	-0700	1094963280387469314	lovenbacom	Love NBA		#NBA: THE PLAY-IN IS SET.  @DaKidGowie goes over the ##MetaQuestPlayIn Tournament match...    https://t.co/2vpWlZqFmR   #Basketball #NationalBasketballAssociation #NationalBasketballAssociation  https://t.co/H9LuH5q6kR	en	[{'screen_name': 'dakidgowie', 'name': 'gowie', 'id': '131739640'}]	['https://www.lovenba.com/817671/']	['https://pbs.twimg.com/media/FQG_q_IXEAABXuh.jpg']	0	0	0	['nba', 'metaquestplayin', 'basketball', 'nationalbasketballassociation', 'nationalbasketballassociation']	[]	https://twitter.com/LoveNBAcom/status/1513701697117470731	False		1	https://pbs.twimg.com/media/FQG_q_IXEAABXuh.jpg							[]				
1513701081854976005	1513701081854976005	2022-04-11 19:10:35 PDT	2022-04-11	19:10:35	-0700	1496179776259866624	deontaybeverly	Deontay Beverly		Here’s some of my highlights from my game vs Chosen Generation  15pts 13rebs 2ast 1stl 🏀🦾 . . . . . . . . .  #highschoolathlete  #collegecoaches  #notcommited #center #powerforward #smallforward  #highschoolbasketball  #florida  #basketball  #highlights #dunk #classof2024 #10  https://t.co/m2zfIOhRAM	en	[]	[]	[]	0	0	1	['highschoolathlete', 'collegecoaches', 'notcommited', 'center', 'powerforward', 'smallforward', 'highschoolbasketball', 'florida', 'basketball', 'highlights', 'dunk', 'classof2024']	[]	https://twitter.com/DeontayBeverly/status/1513701081854976005	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1513701003543076866/pu/img/T8gVnCejTO39MCX0.jpg							[]				
1513700954796875788	1513700954796875788	2022-04-11 19:10:05 PDT	2022-04-11	19:10:05	-0700	771987241329528832	score366	Score366		#EbasketballLigaPro4x5mins MIA Heat (Sm1T1Q) Esports v CHI Bulls (Merekurai) Esports  https://t.co/I5DYyrdZpQ #Basketball	ca	[]	['https://score366.com/r/4895305/MIA-Heat-%28Sm1T1Q%29-Esports-v-CHI-Bulls-%2528Merekurai%2529-Esports']	[]	0	0	0	['ebasketballligapro4x5mins', 'basketball']	[]	https://twitter.com/score366/status/1513700954796875788	False		0								[]				
1513700572326772748	1513700572326772748	2022-04-11 19:08:34 PDT	2022-04-11	19:08:34	-0700	1276071346578038784	hunchodagoat188	AK Podcast		Welcome to AK’s Podcast!! Go like share and subscribe on YouTube link in bio 🔴🎙.   #podcast #podcasts #youtube #sports #sportspodcast #football #basketball #soccer #trackandfield #barca #media #mediaday #futbol #soccerlife  https://t.co/kAQmIvmAip	en	[]	[]	[]	0	0	0	['podcast', 'podcasts', 'youtube', 'sports', 'sportspodcast', 'football', 'basketball', 'soccer', 'trackandfield', 'barca', 'media', 'mediaday', 'futbol', 'soccerlife']	[]	https://twitter.com/hunchodagoat188/status/1513700572326772748	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1513700453015597064/pu/img/PV1RuEqOUeNwmw6J.jpg							[]				
1513700393171230724	1513700393171230724	2022-04-11 19:07:51 PDT	2022-04-11	19:07:51	-0700	921830996	papisow2	Papi Sow 🇲🇱✌		Félicitations à @sikakone23 Sika Koné 🇲🇱❤️💪🏽🔥 Elle est la 5ème femme #Malienne à être draftée en #WNBA (#NBA version féminine)  TOUT SAVOIR SUR ELLE @bballmali  👇👇👇👇👇  https://t.co/hqbC2Skdsx #bbalmali #sikakone23 #Mali #basketball #wnbadraft22 #WNBATwitter #WNBADraft2022	fr	[{'screen_name': 'sikakone23', 'name': 'sikakone23', 'id': '1202177698254249984'}, {'screen_name': 'bballmali', 'name': 'bballmali', 'id': '1159708113248956417'}]	['https://bballmali.com/2022/04/11/wnba-draft-2022-pourquoi-sika-kone-monte-en-fleche-sur-les-tableaux-de-la-draft/']	[]	0	0	1	['malienne', 'wnba', 'nba', 'bbalmali', 'sikakone23', 'mali', 'basketball', 'wnbadraft22', 'wnbatwitter', 'wnbadraft2022']	[]	https://twitter.com/papisow2/status/1513700393171230724	False		0								[]				
1513700267010666497	1513700267010666497	2022-04-11 19:07:21 PDT	2022-04-11	19:07:21	-0700	3087495029	mvcyclones	MoraineValleyAthletics		Turn on your radio…Cyclone women’s #basketball Head Coach Delwyn Jones will be on #SportsTalk with Clyde Travis on WVON 1690 AM tonight at 10 p.m. Listen in as he talks about his coaching career! #GoCyclones #mvcyclones  https://t.co/pJcuRRf9CS	en	[]	[]	['https://pbs.twimg.com/media/FQG6yrDaAAA5cIS.jpg']	0	0	1	['basketball', 'sportstalk', 'gocyclones', 'mvcyclones']	[]	https://twitter.com/MVCyclones/status/1513700267010666497	False		1	https://pbs.twimg.com/media/FQG6yrDaAAA5cIS.jpg							[]				
1513699833655148547	1513699833655148547	2022-04-11 19:05:38 PDT	2022-04-11	19:05:38	-0700	1510729667858247686	suhela_24	Suhela Lamba		watching the wnba draft and working on my hesi n some moves on a windy day 💯 #wnba #wnbadraft #basketball #womensbasketball #ncaawbb #ncaawbb  https://t.co/QSBVZbFydx	en	[]	[]	[]	0	0	0	['wnba', 'wnbadraft', 'basketball', 'womensbasketball', 'ncaawbb', 'ncaawbb']	[]	https://twitter.com/suhela_24/status/1513699833655148547	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1513699804400218113/pu/img/SG01ph6XKFFDy-4f.jpg							[]				
1513699695394230280	1513699695394230280	2022-04-11 19:05:05 PDT	2022-04-11	19:05:05	-0700	1114731441139716096	coachdonmega	Don Mega		Players! Hop in here now. #BASKETBALL #HS #JC #NAIA #NCAA #Web3  https://t.co/UVCvhIlCGH	en	[]	['https://twitter.com/i/spaces/1OwGWzMROYQKQ']	[]	0	0	0	['basketball', 'hs', 'jc', 'naia', 'ncaa', 'web3']	[]	https://twitter.com/CoachDonMega/status/1513699695394230280	False		0								[]				
1513699695272599557	1513699695272599557	2022-04-11 19:05:05 PDT	2022-04-11	19:05:05	-0700	771987241329528832	score366	Score366		#ArgentinaLDD Quimsa LDD v Atenas LDD  https://t.co/F7hTV3eaUu #Basketball	lt	[]	['https://betsapi.com/r/4892222/Quimsa-LDD-v-Atenas-LDD']	[]	0	0	0	['argentinaldd', 'basketball']	[]	https://twitter.com/score366/status/1513699695272599557	False		0								[]				
1513699686812569606	1513699686812569606	2022-04-11 19:05:03 PDT	2022-04-11	19:05:03	-0700	3891353960	sportsworld0412	Sports Worldwide		Listing the 5 players in history who led the NBA in scoring and won the championship in the same season  https://t.co/eyc539lkbq #NBA #Basketball	en	[]	['http://dlvr.it/SNPjCY']	[]	0	0	0	['nba', 'basketball']	[]	https://twitter.com/Sportsworld0412/status/1513699686812569606	False		0								[]				
1513699643477037057	1513699643477037057	2022-04-11 19:04:52 PDT	2022-04-11	19:04:52	-0700	1494497502732509189	linyouzi1227	林柚子		#nike #nikeshoes #kyrie #Sneakers #basketball  https://t.co/Lx5Y20PWJR	und	[]	[]	['https://pbs.twimg.com/media/FQG9nsDXIAckVOU.jpg']	0	0	0	['nike', 'nikeshoes', 'kyrie', 'sneakers', 'basketball']	[]	https://twitter.com/linyouzi1227/status/1513699643477037057	False		1	https://pbs.twimg.com/media/FQG9nsDXIAckVOU.jpg							[]				
1513699461578600456	1513699461578600456	2022-04-11 19:04:09 PDT	2022-04-11	19:04:09	-0700	2542103608	tweetsbycoachp	William Payne 🧩		Hop on! We are talking recruiting tonight! Players, hop on and we are here to answer your questions now! Many coaches in the room!  #BASKETBALL #HS #JC #NAIA #NCAA #Web3  https://t.co/DP9qac8Vp9	en	[]	['https://twitter.com/i/spaces/1OwGWzMROYQKQ']	[]	0	0	0	['basketball', 'hs', 'jc', 'naia', 'ncaa', 'web3']	[]	https://twitter.com/TweetsbyCoachP/status/1513699461578600456	False		0								[]				
1513698633853521923	1513698633853521923	2022-04-11 19:00:52 PDT	2022-04-11	19:00:52	-0700	1509289466850127994	strongcenter24j	Strong Center 2024 Jones		Had a solid weekend at the Phenom Grassroots TOC. #phenomhoops #strongcenter4excellence #strong #basketball #Highlights   @JeffreyBendel_ @Coach_Rick57 @POBScout @HereGoJayAgain @StrongCenter4Ex @PhenomExposure @Phenom_Hoops @JamieShaw5   *we do not own rights to the music*  https://t.co/Lmi6yfj7fg	en	"[{'screen_name': 'jeffreybendel_', 'name': 'jeff bendel', 'id': '412756719'}, {'screen_name': 'coach_rick57', 'name': 'rick lewis', 'id': '31268794'}, {'screen_name': 'pobscout', 'name': ""patrick o'brien"", 'id': '1057965804'}, {'screen_name': 'heregojayagain', 'name': 'jay ""scoop"" anderson', 'id': '1101826598'}, {'screen_name': 'strongcenter4ex', 'name': 'the strong center', 'id': '4143804509'}, {'screen_name': 'phenomexposure', 'name': 'phenom_exposure', 'id': '985116648016367616'}, {'screen_name': 'phenom_hoops', 'name': 'phenom hoop report', 'id': '2165884556'}, {'screen_name': 'jamieshaw5', 'name': 'jamie shaw', 'id': '308623857'}]"	[]	[]	0	0	0	['phenomhoops', 'strongcenter4excellence', 'strong', 'basketball', 'highlights']	[]	https://twitter.com/StrongCenter24J/status/1513698633853521923	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1513697687522189318/pu/img/K-tsNTLnwyEQ7XdV.jpg							[]				
1513698512575385600	1513698512575385600	2022-04-11 19:00:23 PDT	2022-04-11	19:00:23	-0700	1338868404271255555	a51collects	A51Collects		The Area 51 Podcast - Episode 24 : 2022  https://t.co/KivgXvy83a  #Sportscards #Tradingcards #breaks #podcast #Football #Baseball #Basketball #Collectibles #Cards #TCG #Collection	en	[]	['https://twitch.tv/area51collectibles']	[]	0	1	3	['sportscards', 'tradingcards', 'breaks', 'podcast', 'football', 'baseball', 'basketball', 'collectibles', 'cards', 'tcg', 'collection']	[]	https://twitter.com/A51Collects/status/1513698512575385600	False		0								[]				
1513698440064155660	1513698440064155660	2022-04-11 19:00:05 PDT	2022-04-11	19:00:05	-0700	771987241329528832	score366	Score366		#ArgentinaLDD Quimsa LDD v Atenas LDD  https://t.co/JJ94W6YA1t #Basketball	lt	[]	['https://score366.com/r/4892222/Quimsa-LDD-v-Atenas-LDD']	[]	0	0	0	['argentinaldd', 'basketball']	[]	https://twitter.com/score366/status/1513698440064155660	False		0								[]				
1513697911670022144	1513697911670022144	2022-04-11 18:57:59 PDT	2022-04-11	18:57:59	-0700	101547104	mister_maggio	Mr Maggio		PG dishing out.. #basketball #ballerssm	en	[]	[]	[]	0	0	0	['basketball', 'ballerssm']	[]	https://twitter.com/mister_maggio/status/1513697911670022144	False	https://twitter.com/ballerssm/status/1513697363931582478	0								[]				
1513697889532456969	1513697889532456969	2022-04-11 18:57:54 PDT	2022-04-11	18:57:54	-0700	486207344	pogopass	Pogo Pass		Mark your calendars and enjoy 2 @dallaswings games with your @pogopassdfw  👏🏼 Start having FUN today! 🏀🏀🏀  #dallaswings #wnba #basketball #dallassports #dfw #visitdallas #familyfun #dfwsportsfamily #dfwsportsfun  https://t.co/353ypxupOz	en	[{'screen_name': 'dallaswings', 'name': 'dallas wings', 'id': '4075908141'}]	['https://www.instagram.com/p/CcO79mepqBC/?igshid=YTgzYjQ4ZTY=']	[]	0	0	0	['dallaswings', 'wnba', 'basketball', 'dallassports', 'dfw', 'visitdallas', 'familyfun', 'dfwsportsfamily', 'dfwsportsfun']	[]	https://twitter.com/pogopass/status/1513697889532456969	False		0								[]				
1513697210080313345	1513697210080313345	2022-04-11 18:55:12 PDT	2022-04-11	18:55:12	-0700	1399719914613661699	ayebalockaye	Christopher Blake		slowly getting hype for wv hoops next season!! #WVU  #WestVirginia #basketball	en	[]	[]	[]	0	0	0	['wvu', 'westvirginia', 'basketball']	[]	https://twitter.com/ayebalockaye/status/1513697210080313345	False		0								[]				
1513696628489826314	1513696628489826314	2022-04-11 18:52:54 PDT	2022-04-11	18:52:54	-0700	956739905312444416	acer35gtr	Ace Le		3rd grader playing in a 4th grade tourney   Putting those boys on skates throughout the game. Didn’t expect a 3rd grader to come out to do damage #aau #basketball #aaubasketball #handles #youthbasketball  https://t.co/ASLdnaHcWE	en	[]	[]	[]	0	0	0	['aau', 'basketball', 'aaubasketball', 'handles', 'youthbasketball']	[]	https://twitter.com/AceR35GTR/status/1513696628489826314	False		1	https://pbs.twimg.com/ext_tw_video_thumb/1513696547686567937/pu/img/Lb77BjQiqCJjLPr9.jpg							[]				
1513696333005299722	1513696333005299722	2022-04-11 18:51:43 PDT	2022-04-11	18:51:43	-0700	1057496116852350981	nzsportswire	NZ Sports Wire		Welcome home to the @TallBlacks  for a @FIBAAsiaCup qualifier to be played in New Zealand.  @BasketballNZ @FIBA #FIBA #basketball   https://t.co/13VNYUmAcS	en	[{'screen_name': 'tallblacks', 'name': 'tall blacks', 'id': '709556272786382848'}, {'screen_name': 'fibaasiacup', 'name': '🏀fiba asia cup', 'id': '925027126172143618'}, {'screen_name': 'basketballnz', 'name': 'basketball nz', 'id': '47043094'}, {'screen_name': 'fiba', 'name': 'fiba', 'id': '31702589'}]	['https://www.nzsportswire.com/2022/04/12/tall-blacks-to-play-first-game-at-home-since-2018-with-fiba-asian-qualifier/']	[]	0	0	2	['fiba', 'basketball']	[]	https://twitter.com/NZSportsWire/status/1513696333005299722	False		0								[]				
1513696197139128321	1513696197139128321	2022-04-11 18:51:11 PDT	2022-04-11	18:51:11	-0700	796810129089986560	labcity_sb	LABCITY Sports, Training, & Events Center		Come out a support the move! #charlotte #basketball #labcity	en	[]	[]	[]	0	1	1	['charlotte', 'basketball', 'labcity']	[]	https://twitter.com/LabCity_SB/status/1513696197139128321	False	https://twitter.com/tinaquizon/status/1513683583076122626	0								[]				
1513695947137732613	1513587240374620163	2022-04-11 18:50:11 PDT	2022-04-11	18:50:11	-0700	59853788	dareal_dbillz	D-billz		@TheSteinLine How is doncic ahead of joker?seriously? 🙄 #powerinthewronghands #ruining #gameilove #basketball #gimmiemygameback #thisaintthegameifellinlovewith #maybetimetoletitgo #tbh #beencallingit #anditsonlygettingworse #justmyopinion no need to agree. This just how I see it🤷🏿‍♂️	en	[]	[]	[]	0	0	0	['powerinthewronghands', 'ruining', 'gameilove', 'basketball', 'gimmiemygameback', 'thisaintthegameifellinlovewith', 'maybetimetoletitgo', 'tbh', 'beencallingit', 'anditsonlygettingworse', 'justmyopinion']	[]	https://twitter.com/dareal_dbillz/status/1513695947137732613	False		0								[{'screen_name': 'TheSteinLine', 'name': 'Marc Stein', 'id': '48488561'}]				
1513695944658796557	1513695944658796557	2022-04-11 18:50:10 PDT	2022-04-11	18:50:10	-0700	1484843980391174144	historyhourly	Every hour of history.		#History - Cuban premier Fidel Castro during a game of basketball, 1972. [2048 x 1401] - #basketball #Castro #Cuban #Fidel #game #Premier  https://t.co/anvTbdh4hw	en	[]	[]	['https://pbs.twimg.com/media/FQG6a0SXEAMZw2f.png']	0	0	1	['history', 'basketball', 'castro', 'cuban', 'fidel', 'game', 'premier']	[]	https://twitter.com/HistoryHourly/status/1513695944658796557	False		1	https://pbs.twimg.com/media/FQG6a0SXEAMZw2f.png							[]				
