,text,label
2,A big thank you to  for coming out to work with little brothers (aka Jimmy)   2012 Elite team!! Great experience for all!!     ,"['soccer', 'beelite', 'backthepack']"
3,Soccer Super League      ,"['soccer', 'league', 'football']"
12,Welcome to AK’s Podcast!! Go like share and subscribe on YouTube link in bio .                  ,"['podcast', 'podcasts', 'youtube', 'sports', 'sportspodcast', 'football', 'basketball', 'soccer', 'trackandfield', 'barca', 'media', 'mediaday', 'futbol', 'soccerlife']"
13,Topping off the regular season with these highlights!         ,"['callaway', 'soccer']"
16,"i love soccer, how about you?? ",['soccer']
18, Real Sociedad (Nederfox) Esports v Napoli (Arm_KILLER) Esports   ,"['esoccerbattle8minsplay', 'soccer']"
19,", Brilliant soccer management game.      ","['csd21', 'soccer']"
21,4A Girls &amp; Boys Soccer Finals:  Thunder Basin 7 Campbell County 0 - girls Thunder Basin 3 Campbell County 1 - boys  ,"['wyopreps', 'soccer']"
22, Real Sociedad (Nederfox) Esports v Napoli (Arm_KILLER) Esports   ,"['esoccerbattle8minsplay', 'soccer']"
23,FUT Captains Team 2 leaks we know so far       ,"['fifa22', 'futcaptains', 'fut22', 'soccer', 'spottis']"
24,  Senior Girls on the soccer pitch today at Mackie Park.     ,"['soccer', 'raiders', 'sd37']"
25,Back at it late night tonight.  Adult indoor soccer to referee (coed and men). 3 games finishing close to midnight. Life of a grassroots referee.  That might make for a good book.     ,"['referee', 'soccer', 'thirdteam', 'transref', 'girlsthatref']"
27,Check out    5 BTC sign up bonus / start betting by   Bet with             ,"['bitcoin', 'crypto', 'bitcoin', 'bet', 'aussie', 'australia', 'soccer', 'football', 'nba', 'cricket', 'game', 'tuesday']"
31,Soccer Super League      ,"['soccer', 'league', 'football']"
34,3A Boys Soccer Final:  Lander 3  Cody 2   ,"['wyopreps', 'boyssoccer', 'soccer']"
35,don't have any fans of you?! then let me be your very first big fan. I never stop to cheer. ,['soccer']
36,  3 group 4 (Norway) Fram - Start 2  info:    ,"['soccer', 'division', '1xbet']"
37,Haymaker Specials:  $3 TEXAS PINTS $3 TEXAS LIQUORS               ,"['austinblues', 'independentsg', 'matchdayprogram', 'matchdayprogramme', 'matchday', 'watchparty', 'chelseafc', 'plusa', 'premierleague', 'soccer', 'football', 'retrosoccer', 'retrofootball', 'myplmorning']"
38, Is Changing  And Could Decide The 2022 World Cup                     ,"['artificialintelligence', 'soccer', 'ai', 'machinelearning', 'bigdata', 'analytics', 'deeplearning', 'ml', '100daysofcode', 'serverless', 'iot', 'womenwhocode', 'robots', 'worldcup2022', 'datascience', 'digitaltransformation']"
39,My Canadian Premier League Power Rankings for Matchday 1      ,"['cpl', 'concacaf', 'cpl', 'soccer', 'football', 'rankings']"
41,When your kid is 27 and you still go watch his games     ,"['soccer', 'indoorsoccer', 'mondaythoughts']"
43,Football fun facts              ,"['sportsforpeace', 'donation', 'soccer', 'soccerplayer', 'footballuniverse2022', 'nft', 'openseanft']"
44,"Casual Kickabout - APR 11,2022                       ","['hcfc', 'hapevillecityfc', 'hapevillian', 'hapeville', 'atlanta', 'atl', 'soccer', 'football', 'calcio', 'fútbol', 'fußball', 'piłkanożna', 'футбол', 'futebol', 'supportlocalsoccer', 'grassrootsfootball', 'nonleaguefootball', 'collegepark', 'eastpoint', 'kickabout']"
45,Soccer Super League      ,"['soccer', 'league', 'football']"
46, Players of the Kicakbout   Congratulations Patrick &amp; Eddie                      ,"['hcfc', 'hapevillecityfc', 'hapevillians', 'hapeville', 'atlanta', 'atl', 'soccer', 'football', 'calcio', 'fútbol', 'fußball', 'piłkanożna', 'футбол', 'futebol', 'supportlocalsoccer', 'grassrootsfootball', 'nonleaguefootball', 'kickabout']"
49,Congratulations Eric King on your recent commitment to Manhattan College  where he will continue his education and soccer journey.            ,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'soccer', 'futbol', 'committed']"
51,Game winning goals from this weekend         ,"['soccer', 'ecnl', 'ecnlr', 'goal', 'recruiting', 'college', 'collegesoccer']"
52,How much does the rest of the world (especially the UK) feel that in North America we call football ... SOCCER.. vent below            ,"['football', 'soccer', 'fifa', 'fifa22', 'efootball2022', 'efootball', 'pes', 'pes2021', 'gamer', 'gaming', 'gamingcommunity', 'gamerdad']"
53,"March was my Follower Request Month!  An Instagram follower requested a caricature sketch of Zinadine Zidane, who, as far as I can tell, appears to be another football/soccer person.      ","['caricature', 'zinadinezidane', 'soccer', 'football']"
56,The Battle Of The Midwest        ,"['throwback', 'soccer', 'cujackets', 'daytonflyers', 'soccermatch', 'scrimmage']"
57,Did You Know that Cal South works with the NCSA to help athletes be matched with respective colleges?   Check out   to find out more!           ,"['didyouknow', 'calsouth', 'soccer', 'futbol', 'soccerlife', 'soccerlove', 'soccerislife']"
58,My  Pick(s) For Today 04/11/22:  Italy -    @  - Both Team To Score (Yes) (-135)          ,"['soccer', 'seriea', 'sampdoria', 'bologna', 'gamblingtwitter', 'sportsbetting', 'bettingtwitter', 'bettingtips', 'tipster', 'sportsbettingpicks', 'freepicks', 'draftkings']"
59,What is Trophy Manager?        Sign up  ,"['trophymanager', 'football', 'soccer', 'game', 'onlinegame']"
63,When a picture speaks a thousand words     ,"['soccer', 'football', 'mancity']"
65,Fixed VIP Matches -           ,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'correctscore']"
66,Worked out at school for football and soccer practice is cancelled due to rain. Decided to go to the gym tonight and put in extra work. 225 for three reps for my last set.           ,"['gym', 'soccer', 'nodaysoff', 'goals', 'training', 'varsity', 'freshman', 'defending', 'games']"
67,So proud of my oldest son he scored with his head at the game yesterday.     ,"['soccer', 'headers']"
68,"Last hour of the largest  cards auction with  and , bid now! more than 700  graded cards Son las ultimas horas de la subasta mas grande de cromos de  , no te lo pierdas!     Bid here -&gt;     ","['leomessi', 'messi', 'thehobby', 'soccer']"
69,Accumulative Game Score for  Players after Matchday 1 Johnsson from  was the standout from week 1  Hernandez from   was the dud of the week           ,"['cpl', 'concacaf', 'soccer', 'football', 'canada', 'forge', 'yorkutd', 'fifa']"
70, $15 TO GET OUR 100U MAX WHALE   10-2 (83.33%) LAST 12 MAX WHALE PLAYS!!!   DM FOR PAYMENT DETAILS!!!   LET’S GOOOOOO !!!             ,"['visionfam', 'gamblingtwitter', 'sportsbetting', 'sports', 'bets', 'nba', 'nfl', 'ncaab', 'nhl', 'soccer']"
71,Next Up: MON 3/27 7:30pm PST/10:30pm EST  with                    ,"['thesoccerscoreboardshow', 'mls', 'premierleague', 'bundesliga', 'laliga', 'ligue1', 'seriea', 'news', 'scores', 'soccer', 'soccernews', 'transfernews', 'ucl', 'championsleague']"
72,DONE DEAL  Fábio Carvalho signs for Liverpool for 5 seasons. Liverpool pays 5 million euros plus 2.7 million euros in add-ons.            ,"['football', 'transfer', 'transfers', 'fulham', 'liverpool', 'premierleague', 'soccer', 'championship']"
73,Professional mens soccer action photos for Lebanon Warriors        ,"['lebanonwarriors', 'lebanonsoccer', 'soccer', 'cincyphotography', 'lebanonohio']"
74,"Youth Futsal 6-8pm, ages 5-15 and all skill levels welcome!        ","['aztecafc', 'soccer', 'futbol', 'futsal', 'championmentality', 'therosemethod']"
75,"Youth Futsal 6-8pm, ages 5-15 and all skill levels welcome!        ","['aztecafc', 'soccer', 'futbol', 'futsal', 'championmentality', 'therosemethod']"
76,Soccer Super League      ,"['soccer', 'league', 'football']"
77,My  team of the Week!!  GK: Ingham (OTT)  FB: Baquero (VAL) CB: Metusala (FRG) CB: Didic (PAC) FB: Eduardo (YRK)  LM: Daniels (HFX) CM: Johnsson (FRG) CM: Rampersad (HFX) RM: Bustos (PAC)  ST: Wright (OTT) ST: Diaz (PAC)    ,"['cpl', 'football', 'soccer']"
78,–12minsplay Real Madrid (Moic) Esports v Bayern (Tyson) Esports   ,"['esoccergtleagues', 'soccer']"
79,The Arkansas Wolves is pleased to announce the signing of  to the squad   Welcome back to the pack Marcela          ,"['soccerdevelopment', 'soccerlife', 'soccer', 'arkansas', 'arkansasoutdoors', 'arkansaslife']"
80,"Strathcona Centre Community League is offering a FREE Mini Ref Course, April 23, 2022 from 9am-3pm    Must be 12yrs+ by May 15, 2022   Please email soccer.ca for information on how to register           ","['strathconacl', 'yeg', 'papastew', 'oldstrathcona', 'soccer', 'yegsoccer']"
81,Congratulations to Ava Gianni who has committed to  to continue her education and soccer journey. We are excited to see her continue to grow as a student-athlete.            ,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'jagonept', 'soccer', 'futbol', 'committed']"
82,Fixed VIP Matches -            ,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'betting', 'odds']"
83,FREE PICK: Pachuca -1.5 (+100) (1 Unit) ONLY WINNERS...         ,"['ligamx', 'soccer', 'soccerpicks', 'apuestasdeportivas', 'apuestas']"
84,Fixed VIP Matches -           ,"['fixedvipmatches', 'fixedmatches', 'football', 'soccer', 'fixedmatch', 'freetips', 'correctscore']"
85,Congratulations to Gabriella Muccio on her commitment to Penn State Harrisburg  this Fall as she looks forward to continuing her education as well as her soccer journey.           ,"['wearecopa', 'thecopaway', 'copafamily', 'newyork', 'newjersey', 'soccer', 'futbol', 'committed']"
86,–12minsplay Man City (Brand) Esports v Chelsea (Cliff) Esports   ,"['esoccergtleagues', 'soccer']"
87,Congrats Mez on your legendary auto!  . .           ,"['sportscards', 'tradingcards', 'clubhousebreaks', 'groupbreaks', 'showyourhits', 'bighitties', 'soccer', 'futbol', 'barcelona']"
88,Congratulations to Jennalyn Aravena on her commitment to  and  where she looks to continue her educational and soccer dreams.                ,"['wearecopa', 'thecopaway', 'copafamily', 'metuchen', 'millstone', 'brooklyn', 'newyork', 'newjersey', 'jagonept', 'soccer', 'futbol', 'committed']"
89,Come join us at   as we support   in their quest to come back against Villarreal and stay alive in the ! Kick-off is at 3PM!          ,"['miasanmia', 'fcbayern', 'packmas', 'miami', 'fussball', 'futbol', 'soccer', 'ucl']"
90,"The lob pass in soccer is a great way to beat defenders and deliver the ball to a teammate. Your teammate can then either shoot the ball with a volley, a scissors kick,  head or a bicycle kick.         ","['soccer', 'football', 'fussball', 'passtheball', 'soccermove']"
92,–12minsplay Man City (Brand) Esports v Chelsea (Cliff) Esports   ,"['esoccergtleagues', 'soccer']"
93, We are looking for any 2008 boys to join our competitive program... Is it you?  Email: tryouts.com             ,"['miltonmagic', 'mysc', 'soccer', 'milton', 'miltonon', 'townofmilton', 'halton', 'outdoorsoccer', 'ontariosoccer', 'miltonstrong']"
94,"7th grade Boys and Girls  had tough losses today to Boerne North. They’ll keep training and getting better, looking to get W’s next week.   ","['soccer', 'middleschoolsports', 'chargers']"
95,Dane Kelly slots it home for the Riverhounds!   :                ,"['onesportingcaribbean', 'reggaeboyz', 'riverhoundssc', 'uslchampionship', 'usl', 'jamaica', 'caribbeanfootball', 'caribbeanfc', 'football', 'soccer', 'goals']"
96,"Great Win vs a tough team! Proud of my Keeper, only goal was a PK and she was fingertips from getting it!!   ","['soccer', 'soccermom']"
97,"Welcome Crush to the 5v5 St. George, UT (Womens Open (5v5)) on May 21, 2022    ",['soccer']
99,Soccer Super League      ,"['soccer', 'league', 'football']"
100,Under the lights...    @ Hitzman Park  ,"['soccer', 'love', 'fatherhood']"
104,Some quick shots from the game on Saturday.    by: Alex Miller . Thank you sir!                    ,"['reel', 'soccer', 'viral', 'goalkeeper', 'ball', 'footballplayer', 'futball', 'soccerlife', 'viralvideo', 'viralvideos', 'reels', 'footballer', 'soccerball', 'soccerplayers', 'soccergame', 'soccergoals', 'soccerlove']"
105,Todays match 2/2           ,"['soccer', 'sportsbets', 'freepicks', 'tips', 'football', 'freetips', 'mexico']"
107,"the ball is just a ball, the enemy is just a human, and you, you are not a ordinary one, you are a SOCCER PLAYER!!!! ",['soccer']
108," Red Satin,   Sports, Prom Garter, Keepsake Garter (Your choice, single or set)   via ","['weddinggarter', 'soccer', 'bridalgarter']"
112,Soccer Super League      ,"['soccer', 'league', 'football']"
114,", Very realistc football management game.       ","['csd20', 'football', 'soccer']"
115,Shakhtar Donetsk played again        ,"['sundayfootball', 'footballculture', 'football', 'soccer', 'footballmatch', 'footballfan']"
117, Players needed for our competitive programs...   Email: tryouts.com             ,"['miltonmagic', 'mysc', 'soccer', 'milton', 'miltonon', 'townofmilton', 'halton', 'outdoorsoccer', 'ontariosoccer', 'miltonstrong']"
118,We are so excited to be the host club for this International  event in July.  Hosted by the town of  at  this is an event you aren’t going to want to miss!    ,"['hergame', 'soccer']"
121,"Inter Miami CF Forward Leonardo Campana Voted MLS Player of the week presented by Continental Tire for Week 6        @ Miami, Florida  ","['intermiami', 'miami', 'fortlauderdale', 'fortlauderdale', 'soccerleague', 'soccer']"
122,    Dad volunteers to coach a kid’s soccer game   via ,"['soccer', 'sports']"
129,Tags:            ,"['flamengo', 'crf', 'rubronegro', 'memes', 'humor', 'humoresportivo', 'futebol', 'soccer', 'futebolbrasileiro', 'brasil', 'libertadores', 'sleep']"
131,Soccer Super League      ,"['soccer', 'league', 'football']"
132,"William Pottker completes End of loan move to Cruzeiro Esporte Clube, Brazil     ","['football', 'soccer', 'transfer']"
137,"Giovanni completes loan transfer move to Sport Club do Recife, Brazil     ","['football', 'soccer', 'transfer']"
139,"The solution for serious soccer players who would like to see fast,wonderful advancements in their soccer skills and become a genuinely game-changing player.         ","['soccer', 'football', 'futbol', 'fifa', 'futebol', 'sport', 'calcio']"
140,""" News: Watch:  Coach Fired After Headbutting Female Referee - The Spun "":  ","['soccer', 'soccer', 'news']"
142,Trophy Manager is a Football Manager Game with 200.000+ active managers.    Let's join  ,"['football', 'soccer', 'followback']"
143, Yes ~ Milan have done well against their title rivals but have struggled against clubs much lower in the league standings ~ I feel  have the edge now but the title race is still very much alive ~    ~    ,"['inter', 'soccer', 'italy', 'football']"
144,Free soccer bets for everyday gambling! 2-0 Monday 11-1-5 last 7 days     ,"['soccer', 'football', 'futbol']"
146,"Soccer Dad Shirt Gift for Soccer Lover Dad, Soccer Coach T-shirt Design Sports SVG Cutting File Digital Download -   -             ","['soccerlover', 'soccer', 'football', 'soccerskills', 'footballvideos', 'soccerworld', 'skills', 'soccerlife', 'soccerfans', 'footballlovers', 'socceredits']"
151,3⃣ Goals &amp; a clean sheet   A top defensive performance combined with lethal attacking from U18 Isthmian squad ensures we came away with a 3-0 win              ,"['football', 'motd', 'results', 'soccer']"
152,Don't miss your chance to be a part of the next chapter of adult soccer in Hamilton!  Welcome to the Hamilton Soccer League!  For more information contact Jesse at hamdsa.net      ,"['hsl', 'hamilton', 'soccer']"
153," Mon: 19Th Hole Café,  630-830 Tues: Kings Tavern,  8-10 Tues: Centre Street Pub,  7-9 Wed: Kingpin's Alley Family Fun Center, South Glens Falls 7-9 Thurs: TGI Fridays, Saratoga 7-9  Misc. Round:        ","['trivia', 'rotterdam', 'saratoga', 'schenectady', 'sports', 'superbowl', 'football', 'soccer']"
154,"soccer player is VIP all the time for me. i'll support you every second, for sure.  ",['soccer']
155,Soccer Super League      ,"['soccer', 'league', 'football']"
157,"Discover our  Fun Soccer activities for school grades 2,3,4. Our Spring 6 week program begins April 26th &amp; is a great introduction to the game. Spaces are limited so view details on the website &amp; sign up today        ","['sandiego', 'soccer', 'experience']"
158,the terrible scarcity of Antoine Griezmann        ,"['sundayfootball', 'footballculture', 'football', 'soccer', 'footballmatch', 'footballfan']"
159,    &amp;   for the    - Round of 8 Matchday 3-4 for the 12-13th April 2022        Register and place your bet!   ,"['tips', 'predictions', 'uefa', 'uefachampionsleague', 'championsleague', 'tipster', 'soccerpicks', 'soccer']"
160,Mom Soccer Shirt - Soccer Mom Shirt - Soccer Mom Life Gift T-Shirt Design Sports SVG Cutting File Digital Download -   -             ,"['soccermom', 'soccer', 'soccerlife', 'soccertraining', 'soccerskills', 'soccerplayer', 'soccergirl', 'soccerislife', 'football', 'soccerdad', 'soccergame']"
162,Premier Soccer League - Table &amp; Standings       ,"['southafrica', 'soccer', 'football', 'table', 'results']"
163,Off to a great start! ,['soccer']
165,"3A Girls Soccer final:  Cody downs  Lander, 3-1.   ","['wyopreps', 'girlssoccer', 'soccer']"
167,Dedication      ,"['soccer', 'trainintherain', 'dedication']"
168,Mother of God!         Joško Gvardiol will cost a fortune (96.2M€) according to these guys.  ,"['soccer', 'football', 'nogomet', 'croatia', 'joškogvardiol']"
