,text,label
2,.@coloradogov U &amp; your #legislature are ruining YOUR state. From pot smoke filling the air 5 minutes after leaving the airport &amp; constantly being present in hotels to this ridiculous new bike law allowing bikers to basically ignore stop signs and red lights.,['legislature']
5,#Ban on #Transgender #Athletes From #Women’s #Sports #Advances in #hateful #Republican-Controlled #Louisiana #Legislature.   https://t.co/0G65KtACkR,"['ban', 'transgender', 'athletes', 'women', 'sports', 'advances', 'hateful', 'republican', 'louisiana', 'legislature']"
6,More good news for living #organdonors in #Virginia! The #LivingDonorProtectionAct has been signed into law! We thank the #VA lawmakers and #legislature for supporting our fight on all fronts against #kidneydisease. #DonateLife #DonateLifeMonth  https://t.co/PbV2KlhCib,"['organdonors', 'virginia', 'livingdonorprotectionact', 'va', 'legislature', 'kidneydisease', 'donatelife', 'donatelifemonth']"
7,For NOTHING!!!  #TogetherLouisiana we can make a difference! Make your voice heard!  #GS4GND #Louisiana #Legislature #WeChooseNow,"['togetherlouisiana', 'gs4gnd', 'louisiana', 'legislature', 'wechoosenow']"
8,"The purchase of a new, more modern, and convenient office for #RensselaerCounty services in #EastGreenbush was approved at the April 12 meeting of the Rensselaer County #Legislature.  https://t.co/Cbf91fd39f  https://t.co/eRWWOLATIQ","['rensselaercounty', 'eastgreenbush', 'legislature']"
9,"The purchase of a new, more modern, and convenient office for #RensselaerCounty services in #EastGreenbush was approved at the April 12 meeting of the Rensselaer County #Legislature.  https://t.co/2ZVjb2jOLG  https://t.co/xjqhID1rzt","['rensselaercounty', 'eastgreenbush', 'legislature']"
10,This #oklahoma #legislature is outta their damn minds! Only thing we gonna make sure of is voting for a different governor.,"['oklahoma', 'legislature']"
11,"Since we in #PotStocks #Cannabis been #WrongandRed since Feb 2021 , what #Catalysts are next besides @SenSchumer  and his #TrojanHorse #Legislature ??  https://t.co/E9LbfSTaSk","['potstocks', 'cannabis', 'wrongandred', 'catalysts', 'trojanhorse', 'legislature']"
12,"The @SchdyCountyNY #Legislature announced Tuesday that 34 organizations will receive a total of $60,000 in funding through the 2022 #CountyInitiativeProgram.  https://t.co/7xW0lg0d63  https://t.co/WQk9Zfse8z","['legislature', 'countyinitiativeprogram']"
13,"The @SchdyCountyNY #Legislature announced Tuesday that 34 organizations will receive a total of $60,000 in funding through the 2022 #CountyInitiativeProgram.  https://t.co/KP1hBVYugZ  https://t.co/dvxGm624Bu","['legislature', 'countyinitiativeprogram']"
14,"NY liquor stores can remain open on Christmas thanks to Hochul, Albany budget deal #4822 #christmas #CoronavirusinNY #kathyhochul #legislature #liquor #restaurants  https://t.co/sPm3rOAVpH","['christmas', 'coronavirusinny', 'kathyhochul', 'legislature', 'liquor', 'restaurants']"
16,"#Missouri #Voters ! Your Republican-led #legislature is trying to full a fast one on you, please read below and call your State Senators.","['missouri', 'voters', 'legislature']"
17,"Just how does @govrondesantis have the gall 2 claim anyone ELSE oversteps his authority when Ronnie does it almost daily? Drawing new maps is constitutional duty of #Legislature, but #AuthoritarianDesantis couldn't care less about the Florida Constitution OR about #FairDistricts.","['legislature', 'authoritariandesantis', 'fairdistricts']"
